Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Casa,Venta,180000000.0,,0.0,3.0,2.0,0.0,106.0,114.24,Loma De Bolívar,3.0,Cúcuta
Casa,Venta,180000000.0,165000.0,0.0,4.0,3.0,1.0,142.27,142.27,VILLA DEL ROSARIO,3.0,Villa del rosario
,,,,,,,,,,,,
Casa,Arriendo,4100000.0,,0.0,3.0,4.0,2.0,160.0,190.0,BOCONO,5.0,Villa del rosario
Consultorio,Arriendo,1650000.0,174000.0,6.0,2.0,1.0,0.0,45.0,0.0,Santa Barbara-Usaquén,6.0,Bogotá
Oficina,Arriendo,1650000.0,174000.0,6.0,2.0,1.0,0.0,45.0,0.0,Santa Barbara-Usaquén,6.0,Bogotá
Casa,Venta,400000000.0,,0.0,4.0,4.0,1.0,137.0,108.0,Av. Libertadores - Alcala,4.0,Cúcuta
Apartaestudio,Arriendo,1500000.0,,6.0,1.0,1.0,0.0,40.0,40.0,La Playa,3.0,Cúcuta
Local,Arriendo,1800000.0,,0.0,0.0,0.0,0.0,35.0,35.0,AV. LIBERTADORES,4.0,Cúcuta
Local,Arriendo,1800000.0,,0.0,0.0,0.0,0.0,35.0,35.0,AV. LIBERTADORES,4.0,Cúcuta
Local,Arriendo,1800000.0,,0.0,0.0,0.0,0.0,35.0,35.0,AV. LIBERTADORES,4.0,Cúcuta
Casalote,Venta,800000000.0,,0.0,5.0,3.0,0.0,0.0,328.0,,3.0,Funza
Apartamento,Arriendo,1546600.0,153400.0,4.0,3.0,1.0,0.0,61.0,61.0,12 DE OCTUBRE,3.0,Bogotá
Casa,Venta,350000000.0,,0.0,4.0,3.0,1.0,135.0,135.0,Trigal Del Norte,2.0,Cúcuta
Apartamento,Venta,195000000.0,,1.0,2.0,2.0,0.0,78.0,0.0,LOS ALPES,3.0,Pamplona
Apartamento,Arriendo,850000.0,,0.0,3.0,2.0,0.0,49.55,49.55,BOCONO,3.0,Cúcuta
Apartamento,Venta,230000000.0,307000.0,0.0,3.0,2.0,1.0,92.1,92.1,El Rosal,4.0,Cúcuta
Casa,Venta,280000000.0,100000.0,0.0,2.0,3.0,1.0,80.39,47.47,Bocono,3.0,Cúcuta
Apartamento,Arriendo,1400000.0,,7.0,3.0,2.0,1.0,68.0,68.0,Guaimaral,3.0,Cúcuta
Apartamento,Arriendo,2000000.0,,15.0,2.0,2.0,1.0,56.82,56.82,Lleras Restrepo,4.0,Cúcuta
Apartamento,Venta,430000000.0,557000.0,1.0,2.0,3.0,1.0,85.0,0.0,Cedritos-Usaquén,4.0,Bogotá
,,,,,,,,,,,,
Casa,Arriendo,3800000.0,,0.0,4.0,3.0,1.0,70.35,70.35,Villa Alsacia,3.0,Bogotá
,,,,,,,,,,,,
Casa,Venta,240000000.0,,0.0,3.0,2.0,1.0,0.0,127.152,San Luis,3.0,Cúcuta
Casa,Venta,580000000.0,370000.0,0.0,3.0,3.0,2.0,114.0,99.9,"Av. Libertadores, Playa Hermosa",4.0,Cúcuta
Apartamento,Arriendo,2474000.0,527000.0,0.0,2.0,2.0,1.0,70.0,0.0,Hayuelos Capellania,4.0,Bogotá
Apartamento,Arriendo,2200000.0,,3.0,3.0,3.0,1.0,103.0,103.0,Colsag,5.0,Cúcuta
Local,Arriendo,3400000.0,,1.0,0.0,1.0,0.0,87.0,87.0,Venecia-Tunjuelito,3.0,Bogotá
Apartamento,Venta,520000000.0,700000.0,0.0,3.0,3.0,1.0,170.0,170.0,LA RIVIERA,5.0,Cúcuta
Casa,Venta,1100000000.0,1100000.0,0.0,3.0,3.0,3.0,155.0,0.0,Lisboa-Usaquén,5.0,Bogotá
Apartamento,Arriendo,850000.0,,1.0,2.0,2.0,1.0,90.0,90.0,PORTAL DE LOS ALCAZARES,3.0,Villa del rosario
,,,,,,,,,,Bella Suiza-Usaquén,5.0,Bogotá
Oficina,Arriendo,3800000.0,640000.0,2.0,0.0,0.0,1.0,50.0,50.0,Bella Suiza-Usaquén,5.0,Bogotá
Oficina,Venta,110000000.0,228000.0,0.0,0.0,1.0,1.0,35.47,35.47,Quinta Vélez,3.0,Cúcuta
Casa,Venta,200000000.0,,0.0,3.0,2.0,1.0,90.0,90.0,Trigal Del Norte,2.0,Cúcuta
Apartamento,Arriendo,1550000.0,,0.0,3.0,3.0,1.0,84.0,84.0,PRADOS DEL ESTE,3.0,Cúcuta
Apartamento,Venta,365000000.0,,0.0,3.0,2.0,2.0,106.6,106.6,Quinta Bosch,4.0,Cúcuta
Apartaestudio,Arriendo,1850000.0,,0.0,1.0,1.0,1.0,45.83,45.83,Colsag,4.0,Cúcuta
Apartamento,Arriendo,2588000.0,415000.0,5.0,1.0,1.0,1.0,33.97,37.32,Santa Barbara-Usaquén,5.0,Bogotá
Local,Arriendo,900000.0,246000.0,1.0,0.0,0.0,0.0,6.0,6.0,CENTRO,3.0,Bogotá
Apartamento,Venta,820000000.0,,5.0,2.0,1.0,2.0,147.8,147.8,Chico navarra,6.0,Bogotá
Apartamento,Venta,850000000.0,878000.0,3.0,3.0,3.0,2.0,134.0,0.0,Chico Norte,6.0,Bogotá
Lote,Venta,12652377600.0,,0.0,0.0,0.0,0.0,719.0,10598.0,Chía,3.0,Chía
Apartamento,Arriendo,2100000.0,,8.0,3.0,2.0,1.0,75.95,75.95,La Floresta,6.0,Cúcuta
Apartamento,Arriendo,1750000.0,,3.0,3.0,3.0,1.0,68.5,68.5,AV. LIBERTADORES,3.0,Cúcuta
Apartamento,Arriendo,1250000.0,,3.0,2.0,2.0,1.0,57.28,57.28,Prados Del Este,3.0,Cúcuta
Local,Arriendo,9000000.0,,2.0,0.0,0.0,0.0,193.0,0.0,El Toberín,6.0,Bogotá
Apartamento,Venta,850000000.0,1562300.0,2.0,2.0,2.0,2.0,84.46,0.0,Molinos Del Norte-Usaquén,6.0,Bogotá
Casa,Venta,290000000.0,,0.0,2.0,2.0,1.0,110.5,110.5,Prados Del Norte,4.0,Cúcuta
Apartamento,Venta,600000000.0,1034000.0,5.0,2.0,2.0,2.0,80.0,0.0,Cedritos-Usaquén,4.0,Bogotá
Apartamento,Arriendo,2870000.0,722000.0,0.0,3.0,2.0,2.0,86.51,0.0,GRATAMIRA CAMPESTRE,4.0,Bogotá
Apartamento,Venta,350000000.0,668000.0,0.0,1.0,2.0,1.0,50.0,50.0,Quinta Camacho,4.0,Bogotá
Consultorio,Venta,94000000.0,340000.0,4.0,0.0,1.0,0.0,18.58,0.0,Chapinero Central,3.0,Bogotá
