Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Bodega,Venta,1575000000.0,0.0,0.0,0.0,1.0,0.0,350.0,350.0,Latino,3.0,Cúcuta
Apartamento,Venta,170000000.0,0.0,0.0,4.0,1.0,0.0,96.0,96.0,Guaimaral,3.0,Cúcuta
Casa,Venta,550000000.0,0.0,0.0,6.0,5.0,0.0,296.0,200.0,Atalaya - Los Almendros,2.0,Cúcuta
Apartamento,Venta,240000000.0,612749.0,0.0,3.0,2.0,1.0,101.0,101.0,BARRIO BLANCO,4.0,Cúcuta
Apartaestudio,Venta,110000000.0,0.0,0.0,1.0,1.0,0.0,64.2,64.2,La Cabrera,3.0,Cúcuta
Casa,Venta,145000000.0,0.0,0.0,3.0,1.0,0.0,63.0,94.0,Alto de Pamplonita,2.0,Cúcuta
Oficina,Venta,70000000.0,70000.0,0.0,0.0,1.0,0.0,15.9,15.9,Latino,3.0,Cúcuta
Apartamento,Venta,200000000.0,166000.0,0.0,2.0,2.0,0.0,49.66,49.66,Garcia Herreros,3.0,Cúcuta
Casa,Venta,450000000.0,0.0,0.0,5.0,4.0,0.0,96.75,96.75,San Eduardo,3.0,Cúcuta
Bodega,Venta,700000000.0,0.0,0.0,0.0,2.0,0.0,425.0,425.0,El Llano,3.0,Cúcuta
Local,Venta,330000000.0,0.0,0.0,0.0,3.0,0.0,165.12,165.12,Centro,3.0,Cúcuta
Bodega,Venta,415000000.0,0.0,0.0,0.0,1.0,0.0,182.0,185.0,San Miguel,3.0,Cúcuta
Lote,Venta,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Niza,3.0,Cúcuta
Casalote,Venta,350000000.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,El Llano,3.0,Cúcuta
Apartamento,Venta,150000000.0,251390.0,0.0,2.0,1.0,0.0,59.0,59.0,Centro,3.0,Cúcuta
Casa,Venta,450000000.0,0.0,0.0,8.0,6.0,0.0,247.0,247.0,"La Libertad, Aguas Calientes",2.0,Cúcuta
Apartamento,Venta,290000000.0,323000.0,0.0,3.0,2.0,1.0,68.43,68.43,San Eduardo,4.0,Cúcuta
Casa,Venta,260000000.0,103000.0,0.0,2.0,2.0,1.0,66.25,66.25,El Llano,3.0,Cúcuta
Apartamento,Venta,250000000.0,207000.0,0.0,3.0,3.0,1.0,84.0,84.0,Prados del Este,3.0,Cúcuta
Apartamento,Venta,460000000.0,850000.0,0.0,3.0,3.0,2.0,147.35,147.35,La Riviera,5.0,Cúcuta
Local,Venta,120000000.0,0.0,0.0,0.0,1.0,0.0,30.15,30.15,"Los Patios, La Sabana",3.0,Cúcuta
Edificio,Venta,2100000000.0,0.0,0.0,0.0,4.0,0.0,445.0,283.0,Latino,3.0,Cúcuta
Casa,Venta,260000000.0,0.0,0.0,2.0,3.0,1.0,97.5,97.5,Aniversario II,3.0,Cúcuta
Apartaestudio,Venta,250000000.0,175000.0,0.0,1.0,2.0,1.0,45.83,45.83,COLSAG,4.0,Cúcuta
Apartamento,Venta,190000000.0,360000.0,0.0,2.0,2.0,1.0,56.78,56.78,Niza,4.0,Cúcuta
Casa,Venta,350000000.0,0.0,0.0,3.0,2.0,2.0,185.0,185.0,Nuevo Escobal,3.0,Cúcuta
Casa,Venta,500000000.0,0.0,0.0,5.0,4.0,2.0,150.0,150.0,CEIBA II,3.0,Cúcuta
Apartamento,Venta,530000000.0,726000.0,0.0,3.0,4.0,2.0,132.0,132.0,Bellavista Los Patios,5.0,Cúcuta
Apartamento,Venta,178000000.0,0.0,0.0,3.0,2.0,0.0,70.65,70.65,La Cabrera,3.0,Cúcuta
Casa,Venta,800000000.0,0.0,0.0,6.0,4.0,2.0,250.0,250.0,Colsag,4.0,Cúcuta
Casa,Venta,450000000.0,0.0,0.0,4.0,3.0,2.0,129.0,97.5,SAN LUIS,4.0,Cúcuta
Casa,Venta,920000000.0,0.0,0.0,10.0,8.0,3.0,300.0,149.0,El Bosque,4.0,Cúcuta
Apartamento,Venta,390000000.0,823112.0,0.0,3.0,3.0,2.0,192.0,192.0,Barrio Blanco,4.0,Cúcuta
Local,Venta,750000000.0,0.0,0.0,0.0,2.0,0.0,200.0,200.0,El Contento,3.0,Cúcuta
Apartamento,Venta,1100000000.0,900000.0,0.0,3.0,4.0,2.0,166.06,166.06,"Los Patios, La  Floresta",5.0,Cúcuta
Casa,Venta,1200000000.0,0.0,0.0,4.0,3.0,1.0,173.0,119.0,Barrio Blanco,5.0,Cúcuta
Apartamento,Venta,165000000.0,202000.0,0.0,3.0,2.0,1.0,56.55,56.55,Garcia Herreros,3.0,Cúcuta
Casa,Venta,1100000000.0,0.0,2.0,8.0,6.0,3.0,360.0,230.0,La Ceiba,4.0,Cúcuta
Apartamento,Venta,209000000.0,115000.0,0.0,3.0,2.0,0.0,44.0,44.0,Prados Del Este,3.0,Cúcuta
Apartamento,Venta,400000000.0,500000.0,0.0,3.0,3.0,2.0,92.71,92.71,Colsag,3.0,Cúcuta
Apartamento,Venta,300000000.0,260000.0,0.0,3.0,2.0,1.0,68.16,68.16,San Mateo,4.0,Cúcuta
Casa,Venta,470000000.0,378000.0,0.0,4.0,4.0,2.0,163.0,99.0,Av. Libertadores,5.0,Cúcuta
Apartamento,Venta,180000000.0,175000.0,0.0,3.0,1.0,1.0,55.11,55.11,Los Acacios,4.0,Cúcuta
Casa,Venta,560000000.0,372800.0,0.0,4.0,4.0,2.0,200.0,88.2,Bocono,3.0,Cúcuta
Apartamento,Venta,700000000.0,817000.0,0.0,4.0,5.0,2.0,163.0,163.0,CEIBA II,4.0,Cúcuta
Apartamento,Venta,170000000.0,156000.0,0.0,3.0,2.0,0.0,51.31,51.31,Garcia Herreros,3.0,Cúcuta
Casa,Venta,540000000.0,0.0,0.0,6.0,4.0,1.0,162.0,75.0,CEIBA II,3.0,Cúcuta
Casa,Venta,390000000.0,0.0,0.0,4.0,4.0,1.0,160.0,80.0,Ceiba II,4.0,Cúcuta
Casa,Venta,340000000.0,0.0,0.0,3.0,1.0,6.0,169.0,227.0,San Luis,3.0,Cúcuta
Local,Venta,1500000000.0,0.0,0.0,0.0,0.0,0.0,336.0,336.0,Barrio Blanco,4.0,Cúcuta
Apartamento,Venta,270000000.0,140000.0,0.0,3.0,2.0,1.0,68.21,68.21,Prados del Este,3.0,Cúcuta
Casa,Venta,430000000.0,345000.0,0.0,3.0,3.0,2.0,99.0,99.0,Av. Libertadores,4.0,Cúcuta
Lote,Venta,130000000.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,SAN ISIDRO,1.0,Cúcuta
Casa,Venta,260000000.0,0.0,0.0,4.0,1.0,0.0,180.0,223.0,EL CONTENTO,3.0,Cúcuta
Casa,Venta,400000000.0,0.0,0.0,6.0,3.0,1.0,101.82,101.82,PRADOS DEL ESTE,3.0,Cúcuta
Casa,Venta,200000000.0,0.0,0.0,5.0,3.0,1.0,234.0,234.0,CAMILO TORRES,2.0,Cúcuta
Apartamento,Venta,120000000.0,115000.0,0.0,3.0,1.0,0.0,46.11,46.11,Bocono,3.0,Cúcuta
Casa,Venta,500000000.0,0.0,0.0,4.0,4.0,3.0,300.0,340.62,La Ceiba,4.0,Cúcuta
Casa,Venta,530000000.0,0.0,3.0,6.0,6.0,2.0,130.0,130.0,Niza,3.0,Cúcuta
Casa,Venta,250000000.0,0.0,0.0,2.0,1.0,1.0,480.0,480.0,ATALAYA COMUNEROS,2.0,Cúcuta
Apartamento,Venta,300000000.0,637000.0,0.0,3.0,2.0,1.0,100.44,100.44,BARRIO BLANCO,4.0,Cúcuta
Casa,Venta,160000000.0,140000.0,0.0,2.0,3.0,1.0,56.42,56.42,BOCONO,2.0,Cúcuta
Casa,Venta,160000000.0,0.0,0.0,3.0,2.0,1.0,90.0,90.0,"LOS PATIOS , ISCALIGUA",2.0,Cúcuta
Casa,Venta,2200000000.0,1100000.0,2.0,5.0,6.0,2.0,332.0,847.0,Via al Portico Sector el Resumen,4.0,Cúcuta
Apartamento,Venta,120000000.0,121000.0,0.0,3.0,1.0,0.0,44.4,44.4,Bocono,3.0,Cúcuta
Casa,Venta,1300000000.0,0.0,2.0,8.0,9.0,2.0,420.0,210.0,La Ceiba,4.0,Cúcuta
Lote,Venta,33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,123.46,El Salado,3.0,Cúcuta
Lote,Venta,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,El Salado,3.0,Cúcuta
Casa,Venta,1200000000.0,0.0,1.0,5.0,3.0,0.0,250.0,250.0,La Playa,3.0,Cúcuta
Bodega,Venta,950000000.0,0.0,0.0,0.0,1.0,0.0,250.0,250.0,Zona Industrial,3.0,Cúcuta
Casa,Venta,270000000.0,200000.0,2.0,3.0,2.0,1.0,65.36,76.47,"Los Patios, La Sabana",3.0,Cúcuta
